Date,Close,Volume,Open,High,Low,12 EMA,26 EMA,MACD,9 EMA MACD,Histogram
07/14/2023,190.69,41616240,190.23,191.1799,189.63,189.5528498,186.7163759,2.836473873,3.341666319,-0.505192446
07/17/2023,193.99,50520160,191.9,194.32,191.81,190.2354883,187.2551629,2.9803254,3.269398135,-0.289072736
07/18/2023,193.73,48353770,193.35,194.33,192.415,190.7731055,187.7347804,3.038325024,3.223183513,-0.184858489
07/19/2023,195.1,80507320,193.1,198.23,192.65,191.4387815,188.2803523,3.158429288,3.210232668,-0.05180338
07/20/2023,193.13,59581200,195.09,196.47,192.495,191.698969,188.6395854,3.059383576,3.18006285,-0.120679273
07/21/2023,191.94,71951680,194.1,194.97,191.23,191.7360507,188.8840606,2.851990115,3.114448303,-0.262458188
07/24/2023,192.75,45505100,193.41,194.91,192.25,191.8920429,189.1704265,2.721616433,3.035881929,-0.314265495
07/25/2023,193.62,37283200,193.33,194.44,192.915,192.1578824,189.5000245,2.657857948,2.960277133,-0.302419184
07/26/2023,194.5,47471870,193.67,195.64,193.32,192.5182082,189.8703931,2.64781517,2.89778474,-0.24996957
07/27/2023,193.22,47460180,196.02,197.2,192.55,192.6261762,190.1185121,2.507664103,2.819760613,-0.31209651
07/28/2023,195.83,48291440,194.67,196.626,194.14,193.1190722,190.5415853,2.577486895,2.771305869,-0.193818974
07/31/2023,196.45,38824110,196.06,196.49,195.26,193.6315226,190.9792456,2.652276981,2.747500092,-0.09522311
08/01/2023,195.605,35281430,196.235,196.73,195.28,193.9351345,191.3218941,2.613240416,2.720648157,-0.10740774
08/02/2023,192.58,50389330,195.04,195.18,191.8507,193.7266523,191.4150871,2.311565154,2.638831556,-0.327266402
08/03/2023,191.17,62243280,191.57,192.37,190.69,193.3333212,191.3969325,1.936388637,2.498342972,-0.561954335
08/04/2023,181.99,115956800,185.52,187.38,181.92,191.5881948,190.7001227,0.888072121,2.176288802,-1.288216681
08/07/2023,178.85,97576070,182.13,183.13,177.35,189.6284725,189.8223358,-0.193863292,1.702258383,-1.896121675
08/08/2023,179.8,67823000,179.69,180.27,177.58,188.1163998,189.0799406,-0.963540744,1.169098558,-2.132639302
08/09/2023,178.19,60378490,180.87,180.93,177.01,186.5892614,188.2732783,-1.684016916,0.598475463,-2.282492379
08/10/2023,177.97,54686850,179.48,180.75,177.6,185.2632212,187.5100725,-2.246851331,0.029410104,-2.276261435
08/11/2023,177.79,52036670,177.32,178.62,176.55,184.1134949,186.7900671,-2.676572296,-0.511786376,-2.16478592
08/14/2023,179.46,43675630,177.97,179.69,177.305,183.3975726,186.2470992,-2.849526644,-0.979334429,-1.870192214
08/15/2023,177.45,43622590,178.88,179.48,177.05,182.4825614,185.5954622,-3.112900829,-1.406047709,-1.70685312
08/16/2023,176.57,46964860,177.13,178.54,176.5,181.5729366,184.9269095,-3.353972903,-1.795632748,-1.558340155
08/17/2023,174,66062880,177.14,177.5054,173.48,180.4078694,184.1175088,-3.709639366,-2.178434072,-1.531205294
08/18/2023,174.49,61172150,172.3,175.1,171.96,179.497428,183.40436,-3.906932015,-2.52413366,-1.382798355
08/21/2023,175.84,46311880,175.07,176.13,173.735,178.9347467,182.844037,-3.909290279,-2.801164984,-1.108125295
08/22/2023,177.23,42084250,177.06,177.68,176.25,178.672478,182.4281824,-3.755704414,-2.99207287,-0.763631544
08/23/2023,181.12,52722750,178.52,181.55,178.325,179.0490199,182.33128,-3.282260167,-3.050110329,-0.232149838
08/24/2023,176.38,54945800,180.674,181.104,176.01,178.6384014,181.8904445,-3.252043049,-3.090496873,-0.161546176
08/25/2023,178.61,51449590,177.38,179.15,175.82,178.634032,181.6474486,-3.013416611,-3.075080821,0.06166421
08/28/2023,180.19,43820700,180.09,180.59,178.545,178.8734117,181.5394894,-2.666077759,-2.993280208,0.327202449
08/29/2023,184.12,53003950,179.695,184.9,179.5,179.6805791,181.7306384,-2.050059255,-2.804636018,0.754576763
08/30/2023,187.65,60813890,184.94,187.85,184.74,180.9066439,182.1691096,-1.262465734,-2.496201961,1.233736227
08/31/2023,187.87,60794470,187.84,189.12,187.48,181.9779294,182.5913978,-0.613468351,-2.119655239,1.506186888
09/01/2023,189.46,45766500,189.485,189.92,188.28,183.1290172,183.1001831,0.02883408,-1.689957375,1.718791455
09/05/2023,189.7,45280030,188.28,189.98,187.61,184.1399376,183.5890584,0.550879187,-1.241790063,1.79266925
09/06/2023,182.91,81755820,188.4,188.85,181.47,183.9507165,183.5387578,0.411958639,-0.911040322,1.322998961
09/07/2023,177.56,112488800,175.18,178.21,173.54,182.9675293,183.0958869,-0.128357559,-0.75450377,0.626146211
09/08/2023,178.18,65602070,178.35,180.239,177.79,182.2309863,182.7317471,-0.500760761,-0.703755168,0.202994407
09/11/2023,179.36,58953050,180.07,180.3,177.34,181.7892961,182.4819881,-0.692691923,-0.701542519,0.008850596
09/12/2023,176.3,90370190,179.49,180.13,174.82,180.944789,182.024063,-1.079273979,-0.777088811,-0.302185168
09/13/2023,174.21,84267930,176.51,177.3,173.98,179.9086676,181.4452435,-1.536575886,-0.928986226,-0.60758966
09/14/2023,175.74,60895760,174,176.1,173.58,179.2673342,181.0226329,-1.755298738,-1.094248728,-0.66105001
09/15/2023,175.01,109259500,176.48,176.495,173.82,178.6123597,180.5772527,-1.96489301,-1.268377585,-0.696515425
09/18/2023,177.97,67257570,176.48,179.38,176.17,178.5135351,180.3841229,-1.870587747,-1.388819617,-0.481768129
09/19/2023,179.07,51826940,177.52,179.63,177.13,178.5991451,180.2867804,-1.68763533,-1.44858276,-0.23905257
09/20/2023,175.49,58436180,179.26,179.695,175.4,178.1208151,179.9314634,-1.810648275,-1.520995863,-0.289652413
09/21/2023,173.93,63149120,174.55,176.3,173.86,177.4760743,179.4869105,-2.010836216,-1.618963933,-0.391872282
09/22/2023,174.79,56725390,174.67,177.079,174.05,177.0628321,179.1389912,-2.076159118,-1.71040297,-0.365756148
09/25/2023,176.08,46172740,174.2,176.97,174.15,176.9116272,178.9123993,-2.000772114,-1.768476799,-0.232295315
09/26/2023,171.96,64588950,174.82,175.2,171.66,176.1498384,178.3974067,-2.247568369,-1.864295113,-0.383273256
09/27/2023,170.43,66921810,172.62,173.04,169.05,175.2698632,177.8072285,-2.537365226,-1.998909136,-0.53845609
09/28/2023,170.69,56294420,169.34,172.03,167.62,174.5652689,177.2800264,-2.714757461,-2.142078801,-0.57267866
