Date,Open,High,Low,Close,Volume,Avg,MA7,MA20,MA50
25/10/2021,93.5,97.5299,93.29,96.6,5713176,0.162,0.061,0.08095,0.06896
27/10/2021,93.26,93.4243,87.98,88.45,5119847,0.092,0.064,0.08195,0.0688
28/10/2021,88.78,90.67,88.53,90.31,5461729,0.062,0.064,0.08295,0.06796
29/10/2021,89.91,92.49,88.94,91.44,6352373,0.09,0.077,0.0842,0.06984
01/11/2021,91.6,92.95,89.8554,92.83,5482876,0.072,0.066,0.0847,0.07158
02/11/2021,92.75,92.75,87.92,89.37,7532187,0.092,0.077,0.0846,0.07158
03/11/2021,88.94,91.4624,88.79,89.9,6263718,-0.043,0.048,0.0786,0.06888
04/11/2021,90.39,90.49,85.75,86.06,21312630,0.058,0.043,0.07625,0.06894
05/11/2021,57.13,61.7,55.21,55.64,83569410,0.032,0.039,0.0766,0.06848
08/11/2021,53.36,53.6,49.1135,51.25,52497870,0.021,0.045,0.07285,0.06954
09/11/2021,52.95,53,48.93,50.13,22802740,0.03,0.039,0.0706,0.069
10/11/2021,49.77,51.41,48.3,48.95,16018560,0.047,0.033,0.06915,0.0683
11/11/2021,49.08,50.85,47.57,50.52,15780140,0.135,0.058,0.06655,0.07036
12/11/2021,50.67,51.39,48.73,49.22,8862726,0.067,0.059,0.06195,0.06962
15/11/2021,49.613,49.7135,46.7,47.49,12812670,0.035,0.06,0.0603,0.06832
16/11/2021,50.09,54.935,48.85,54.85,73862980,0.074,0.058,0.0604,0.0688
17/11/2021,52.66,53.39,50.81,51.13,24285040,0.082,0.067,0.0615,0.06968
18/11/2021,51.23,51.8,45.9,48.4,24991620,0.027,0.067,0.06285,0.06984
19/11/2021,49.55,50.0795,47,47.14,12695110,0.02,0.063,0.06275,0.07
22/11/2021,47.05,47.15,43.3,44.08,19820450,0.001,0.05,0.0578,0.07002
23/11/2021,44,44.34,41.1301,42.97,17946920,0.029,0.049,0.05115,0.06988
24/11/2021,42.55,44.58,41.74,43.92,13120580,0.038,0.044,0.04845,0.06872
26/11/2021,47.72,47.75,45,46.41,16487610,0.02,0.043,0.04635,0.06742
29/11/2021,44.68,45.58,42.744,44.39,14785650,0.008,0.034,0.04225,0.0656
30/11/2021,44.72,46.13,42.5,44,17337100,0.018,0.033,0.03955,0.06234
01/12/2021,43.81,45.76,42.19,42.25,12901820,0.03,0.032,0.03645,0.06008
02/12/2021,43.89,46.25,43.41,44.45,17120790,0.043,0.026,0.04075,0.06018
03/12/2021,46.16,46.5,42.29,43.55,17128630,0.012,0.024,0.03845,0.059
06/12/2021,42.36,43.52,40.84,42.49,13586640,0.026,0.033,0.03815,0.05884
07/12/2021,42.58,43.89,41.38,41.78,11574270,0.034,0.035,0.0388,0.05812
08/12/2021,41.84,46.345,40.97,45.91,17354770,0.077,0.042,0.04115,0.05896
10/12/2021,39.85,41.25,37.67,38.51,23570780,0.03,0.046,0.0403,0.05812
13/12/2021,39.615,41.46,37.75,41.34,30021480,0.041,0.047,0.0356,0.0581
14/12/2021,38.702,42.75,38.67,39.26,30336050,0.047,0.048,0.0346,0.05774
15/12/2021,39.335,39.34,36.42,38.5,18012210,0.053,0.045,0.0355,0.05756
16/12/2021,38.5,40.18,38.4336,39.81,15792640,0.012,0.039,0.0324,0.05592
17/12/2021,40.04,43.025,39.16,42.45,18360270,0.037,0.04,0.03015,0.05512
20/12/2021,42.16,42.46,38.19,38.7,18246130,0.032,0.047,0.0304,0.05366
21/12/2021,38.875,39.78,37.9401,39.19,11555240,0.048,0.047,0.0318,0.05412
22/12/2021,39.21,39.7107,36.64,37.78,17182440,0.039,0.045,0.0337,0.05298
23/12/2021,37.42,38.81,35.901,38.59,17147640,0.03,0.048,0.03375,0.05208
27/12/2021,38.12,38.47,36.47,36.71,15765140,0.031,0.038,0.0334,0.05118
28/12/2021,36.61,37.3,35.03,35.13,14026030,0.022,0.036,0.0335,0.04788
29/12/2021,35.13,35.6847,33.91,34.56,13594970,0.047,0.036,0.03545,0.04564
30/12/2021,34.53,37.9021,34.48,37.19,16974850,0.042,0.037,0.03665,0.04512
31/12/2021,36.1,37.4,35.655,35.76,14463720,0.035,0.037,0.0369,0.04438
03/01/2022,36.08,36.26,34.72,35.2,12777240,0.008,0.036,0.03515,0.04334
04/01/2022,35,35.25,32.3918,33.82,21842310,0.061,0.042,0.0376,0.04456
06/01/2022,32.25,34.67,31.51,33.86,18061320,-0.071,0.016,0.03275,0.0427
07/01/2022,33.55,36.01,33.03,35.58,17078400,0.074,0.022,0.03475,0.04218
11/01/2022,34.27,37.6799,34.05,36.56,16197430,0.012,0.023,0.0315,0.03918
12/01/2022,36.34,37.08,34.47,34.49,12830820,0.084,0.027,0.0342,0.03902
13/01/2022,34.68,34.71,31.98,32.15,20397580,0.044,0.035,0.03435,0.03866
14/01/2022,31,32.3203,30.35,31.33,21265220,0.029,0.05,0.03345,0.03744
18/01/2022,30.85,30.92,29.1112,30.23,27347790,0.064,0.048,0.034,0.03728
19/01/2022,30.02,32.3862,29.54,31.84,28231090,0.055,0.053,0.03615,0.03654
20/01/2022,32.05,32.635,23.25,24.22,105119300,0.018,0.054,0.0352,0.03776
21/01/2022,25.81,28.7,24.34,27.06,108935100,0.039,0.048,0.03555,0.03738
24/01/2022,25.85,30.27,25.81,29.71,63570320,0.068,0.046,0.03655,0.0381
25/01/2022,29.04,29.7094,26.45,26.53,30616450,0.025,0.038,0.03585,0.03818
26/01/2022,27.125,27.6,24.6701,24.75,24816250,-0.044,0.022,0.03215,0.0367
27/01/2022,24.8,25.57,23.76,23.97,20292940,0.097,0.028,0.03545,0.0377
28/01/2022,24.003,25.71,22.81,25.64,21521370,0.019,0.028,0.0353,0.03538
31/01/2022,26.55,27.66,26.01,27.33,24148970,0.073,0.037,0.0366,0.0355
01/02/2022,27.39,28.57,26.59,28.02,13796420,0.031,0.032,0.03605,0.03542
02/02/2022,27.9,27.9,25.88,26.7,15476870,0.025,0.032,0.03555,0.03444
03/02/2022,26.271,26.6,24.195,24.25,10447600,0.07,0.048,0.03865,0.0342
04/02/2022,24.662,24.79,23.21,24.6,25406200,0.077,0.045,0.03945,0.0352
08/02/2022,30.2,40.35,29.7,37.27,246529100,0.052,0.052,0.0456,0.03584
09/02/2022,36.52,38.93,35.61,38.77,78117370,0.062,0.058,0.045,0.03706
10/02/2022,36.96,39.6257,36.41,37.46,33703990,0.064,0.057,0.0476,0.03776
11/02/2022,36.81,37.3,33.68,34.68,29809290,0.072,0.056,0.047,0.03844
14/02/2022,33.705,34.96,32.18,32.83,21832310,0.047,0.064,0.04715,0.03898
15/02/2022,32.998,33.65,31.95,33.25,16048230,0.069,0.066,0.04915,0.0402
16/02/2022,33.16,34.1999,31.53,32.05,14457160,0.099,0.072,0.0509,0.04182
17/02/2022,31.97,33.01,30.21,30.59,11004000,-0.04,0.057,0.04615,0.04042
18/02/2022,30.571,31.694,29.08,29.63,13085400,0.069,0.056,0.0487,0.04094
22/02/2022,29.48,30.31,28.4,28.55,10919910,0.056,0.031,0.04955,0.04182
23/02/2022,28.73,29.12,26.7,27,13930570,-0.013,0.019,0.0455,0.04104
24/02/2022,25.5,28.6,25.26,28.3,20463560,0.058,0.013,0.04715,0.04152
25/02/2022,28.08,28.44,26.75,28.19,9672803,0.067,0.029,0.0527,0.04132
28/02/2022,28.95,29.12,27.11,29.06,10510190,0.072,0.083,0.05145,0.04216
01/03/2022,28.89,29.15,27.2,27.62,8231787,0.202,0.104,0.0606,0.04538
02/03/2022,27.47,27.51,25.85,26.73,10230770,0.044,0.112,0.05915,0.04532
03/03/2022,26.965,27.02,24.4,24.52,15971860,0.052,0.111,0.0602,0.0453
08/03/2022,22.22,23.505,21.33,22.55,10392010,0.048,0.056,0.06135,0.04602
10/03/2022,22.59,23.13,21.99,22.61,8629180,0.007,0.047,0.0582,0.04542
11/03/2022,22.64,22.71,21.04,21.14,9021373,0.045,0.025,0.0566,0.04568
14/03/2022,20.81,21.8783,20.11,20.2,11106560,0.051,0.035,0.05655,0.04574
15/03/2022,21.01,22.815,20.56,22.61,13301720,0.11,0.051,0.05895,0.04716
16/03/2022,22.87,23.44,22.08,23.31,9640516,0.034,0.049,0.05745,0.04724
17/03/2022,23.21,24.73,22.921,24.7,7399655,0.074,0.059,0.05755,0.0481
18/03/2022,24.64,26.7,24.61,26.62,11291110,0.127,0.071,0.06155,0.0502
21/03/2022,26.37,26.72,24.98,26.25,6553750,0.082,0.082,0.0622,0.0509
22/03/2022,25.93,28.14,25.845,27.53,7280652,0.05,0.075,0.05975,0.05106
24/03/2022,28.37,29.1799,27.1718,28.94,8149824,0.004,0.069,0.06195,0.05044
25/03/2022,29.23,29.66,27.82,28.42,9139713,0.054,0.061,0.0612,0.05136
28/03/2022,28.44,29.12,26.88,28.07,7858084,0.094,0.059,0.0631,0.05202
29/03/2022,28.65,32.14,28.3687,30.89,14294310,0.02,0.044,0.06475,0.05384
