Date,Open,High,Low,Close,Volume,Avg,MA7,MA20,MA50
30/11/2022,36.05,39.53,36,39.51,19864000,0.161,0.07,0.08585,0.07192
01/12/2022,38.9,40.93,38.6551,40.64,14132520,0.144,0.083,0.09065,0.07392
05/12/2022,40.84,42.19,38,38.08,11922340,-0.004,0.082,0.0819,0.07148
06/12/2022,38.08,38.1,33.65,34.32,17017680,0.089,0.088,0.0819,0.0727
07/12/2022,34.02,35.2199,32.8,33.77,11068420,0.125,0.106,0.0842,0.0742
08/12/2022,33.77,36.02,32.87,35.32,12030030,0.073,0.099,0.08195,0.07544
12/12/2022,33.75,34.39,33.2706,33.78,8231615,0.075,0.095,0.0818,0.07558
13/12/2022,37.92,38.2,32.82,33.63,14874970,0.09,0.085,0.08145,0.07622
16/12/2022,29.21,29.5,28.45,28.99,11837650,0.1,0.078,0.0823,0.07818
19/12/2022,28.87,29.16,27.44,27.92,9774834,0.094,0.092,0.08005,0.07888
20/12/2022,27.53,28.48,27.3,27.73,10721550,0.099,0.094,0.0804,0.07962
23/12/2022,27.23,27.745,26.53,27.63,6692780,0.075,0.087,0.08245,0.08108
28/12/2022,26.34,26.8,25.83,26.52,6569203,0.039,0.076,0.0811,0.0802
04/01/2023,27.73,29,27.11,28.33,8643886,0.118,0.079,0.08295,0.0819
11/01/2023,32,32.89,31.2501,32.56,7829615,0.06,0.074,0.07735,0.081
13/01/2023,30.375,32.45,30.33,31.57,7315968,0.092,0.073,0.0792,0.08186
17/01/2023,32.11,32.42,30.77,32.38,8723125,0.087,0.073,0.08355,0.08384
26/01/2023,35.8,36.7434,32.5555,34.17,13969110,0.003,0.068,0.0814,0.0824
02/02/2023,39.78,41.8284,39.02,40.38,20368340,0.145,0.088,0.08865,0.08428
07/02/2023,36.73,37.325,34.82,36.72,12637830,0.013,0.081,0.0839,0.08244
09/02/2023,39.11,42.18,39.1,39.95,22929670,0.091,0.081,0.0804,0.08192
10/02/2023,38.84,39.24,35.41,35.73,13570780,0.114,0.095,0.0789,0.08194
14/02/2023,36.6,39.92,35.7,39.72,11713320,0.068,0.092,0.0825,0.08186
17/02/2023,40.5,40.5276,38.81,39.67,7730362,0.135,0.111,0.0848,0.08324
22/02/2023,36.68,38.03,36.45,37.85,12819790,0.052,0.084,0.08115,0.0822
23/02/2023,34.99,35.27,30.75,31.83,31527690,-0.018,0.079,0.0766,0.08124
24/02/2023,31.02,31.05,29.01,29.61,18599540,0.062,0.075,0.07595,0.08178
27/02/2023,29.94,30.6,29.11,29.64,11180910,0.087,0.052,0.0758,0.08258
28/02/2023,29.69,31.13,29.33,30.44,9396051,0.172,0.061,0.0794,0.08404
02/03/2023,28.89,29.86,28.72,29.42,8512194,0.159,0.076,0.08265,0.08506
03/03/2023,29.46,31.36,29.45,30.87,10217330,0.052,0.086,0.0803,0.08416
06/03/2023,30.91,31.5292,30.15,30.25,8109588,0.158,0.1,0.08445,0.08636
07/03/2023,29.99,30.45,29.06,29.33,8712297,0.275,0.144,0.09625,0.08844
08/03/2023,29.31,29.87,28.8,29.49,6824290,0.019,0.132,0.0913,0.08704
14/03/2023,28.68,29.08,27.23,27.45,9712496,0.13,0.117,0.0948,0.08806
16/03/2023,28.63,29.405,27.97,28.74,7923809,0.32,0.14,0.1062,0.0921
17/03/2023,29.73,29.73,27.9781,28.32,9488782,0.061,0.141,0.1049,0.09176
20/03/2023,28.15,28.63,27.58,28.24,7046591,0.085,0.111,0.109,0.09152
22/03/2023,29.94,30.195,28.28,28.36,8183186,0.084,0.121,0.10595,0.09154
23/03/2023,28.93,30.905,28.82,29.17,10271810,0.117,0.134,0.11115,0.0911
24/03/2023,29.22,29.8165,28.54,28.72,7466114,0.09,0.128,0.1111,0.09106
28/03/2023,27.83,28.16,27.36,27.74,6032991,0.05,0.096,0.1079,0.09138
29/03/2023,28.27,29.33,27.855,29.23,5509825,0.241,0.11,0.11655,0.09488
30/03/2023,29.75,29.97,28.9401,29.34,5729178,0.105,0.113,0.11505,0.09536
31/03/2023,29.69,32.54,29.23,32.44,14228860,0.048,0.108,0.11485,0.09288
03/04/2023,32.1,32.57,31.552,32.17,7496110,0.181,0.117,0.1248,0.0954
04/04/2023,32.61,32.9,31.68,32.42,6550063,0.12,0.121,0.1277,0.0978
06/04/2023,30.11,31.43,29.78,31.13,6079367,0.11,0.122,0.12885,0.09908
10/04/2023,30.4,30.83,29.915,30.67,6564363,0.152,0.137,0.12785,0.10212
11/04/2023,30.75,31.2099,30.36,30.8,5628879,0.096,0.116,0.1247,0.10188
14/04/2023,29.4,30.07,28.84,29.44,5845520,0.132,0.12,0.1287,0.1013
