date,count,normalized
21/10/2022,19,0.395
22/10/2022,7,0.3803
23/10/2022,2,0.7525
24/10/2022,30,0.3588
25/10/2022,30,0.3398
26/10/2022,41,0.4024
27/10/2022,78,0.3247
28/10/2022,40,0.2499
29/10/2022,6,0.5082
30/10/2022,9,0.207
31/10/2022,20,0.6156
01/11/2022,17,0.3446
02/11/2022,15,0.4681
03/11/2022,27,0.273
04/11/2022,13,0.4122
05/11/2022,2,0.3545
06/11/2022,8,-0.0741
07/11/2022,34,0.2603
08/11/2022,23,0.3378
09/11/2022,42,-0.0725
10/11/2022,31,0.3771
11/11/2022,21,0.3375
12/11/2022,4,0.6813
13/11/2022,3,0.3403
14/11/2022,21,0.3174
15/11/2022,19,0.4653
16/11/2022,14,0.4838
17/11/2022,20,0.2845
18/11/2022,17,0.508
19/11/2022,6,0.492
20/11/2022,2,-0.4865
21/11/2022,4,-0.1368
22/11/2022,17,0.5296
23/11/2022,12,0.5908
24/11/2022,5,0.793
25/11/2022,9,0.4694
26/11/2022,2,0.686
27/11/2022,5,0.725
28/11/2022,21,0.3573
29/11/2022,13,0.448
30/11/2022,10,0.5208
01/12/2022,18,0.122
02/12/2022,10,0.4188
03/12/2022,3,0.9947
04/12/2022,6,0.1005
05/12/2022,12,0.3309
06/12/2022,32,0.1539
07/12/2022,12,0.6018
08/12/2022,18,0.6463
09/12/2022,12,0.2729
10/12/2022,5,0.597
11/12/2022,5,-0.2656
12/12/2022,5,0.5708
13/12/2022,12,0.6968
14/12/2022,18,0.0726
15/12/2022,18,0.7193
16/12/2022,23,0.3244
17/12/2022,9,0.278
18/12/2022,5,0.1438
19/12/2022,25,-0.068
20/12/2022,19,0.4629
21/12/2022,12,0.4014
22/12/2022,9,0.5011
23/12/2022,30,0.5385
24/12/2022,2,0.316
25/12/2022,3,0.2837
26/12/2022,1,0.202
27/12/2022,7,0.4474
28/12/2022,15,0.3086
29/12/2022,9,0.5686
30/12/2022,10,0.0517
31/12/2022,3,0.6667
01/01/2023,5,-0.1256
02/01/2023,2,0.993
03/01/2023,10,0.4312
04/01/2023,16,0.426
05/01/2023,15,0.3009
06/01/2023,11,0.5573
07/01/2023,4,-0.553
08/01/2023,5,-0.492
09/01/2023,11,0.3235
10/01/2023,17,0.5088
