Date,Open,High,Low,Close/Last,Volume
15/07/2021,242.94,244.56,235.02,237.58,1379178
16/07/2021,239.52,240.77,235.47,235.67,951577
19/07/2021,233.22,241.85,230.5001,241.35,1284369
20/07/2021,244.89,249.7,240.535,246.34,1471874
21/07/2021,245,248.0699,242.6135,247.25,857128
22/07/2021,248.37,250.85,246.37,249.71,1379579
23/07/2021,250.18,261,248.95,257.91,1861550
26/07/2021,256.8,256.93,251.5,253,1601778
27/07/2021,253,255.435,244.36,248.3,1700035
28/07/2021,249.09,253.22,247.595,250.5,910226
29/07/2021,251.21,252.23,247.78,248.18,966846
30/07/2021,245.78,250.93,244.4,247.79,904924
02/08/2021,248,248.38,240.81,245.58,1258124
03/08/2021,245.58,247.99,239.51,242.57,1225879
04/08/2021,242.9,247.75,242,247.38,1137971
05/08/2021,247,253.72,245.5,252.29,2091733
06/08/2021,249.76,251.25,238.95,240.12,1920764
09/08/2021,240,242.98,238.48,241.35,790880
10/08/2021,241.685,244.13,232.45,232.7,1294076
11/08/2021,234.64,237.7,231.06,234.49,1227921
12/08/2021,234,239.89,233,236.14,1273442
13/08/2021,236.36,239.61,234.12,235.84,804004
16/08/2021,235.19,237.12,229.15,231.82,1197907
17/08/2021,230.6,232,226.06,230.63,917328
18/08/2021,231.45,233.2973,228.13,228.93,735165
19/08/2021,228.3,232.23,226.92,230.91,915618
20/08/2021,230.92,234.32,230.71,230.97,1497577
23/08/2021,231.25,236.745,231.2001,235.68,1426367
24/08/2021,240,248.08,238.97,247.55,2040948
25/08/2021,254.25,262.9573,253.33,260.73,2640608
26/08/2021,255.55,264.4069,255.4,262.17,1529504
27/08/2021,261.08,265.26,260.1,262.38,1174408
30/08/2021,263,266.1786,260.11,264.98,1363838
31/08/2021,262.07,266.9474,260.36,263.6,1615193
01/09/2021,260,266.21,258.78,264.76,2347950
02/09/2021,262.315,276.2264,261.075,271.75,5247145
03/09/2021,270.03,276.3,267.7301,270.4,2179633
07/09/2021,268.82,269.88,263.39,264.94,2120308
08/09/2021,263.35,265.89,259.3101,263.46,1327134
09/09/2021,263.45,269.23,262.71,266.46,1188138
10/09/2021,265.52,265.625,253.32,253.98,1573541
13/09/2021,254.01,254.51,247.05,249.53,1627832
14/09/2021,249.53,254.36,249.24,253.29,1157895
15/09/2021,252.61,254.3,249.78,253.58,1276223
16/09/2021,253.58,255.88,249.01,255.78,1069271
17/09/2021,257.39,258.7,255,258.15,2538030
20/09/2021,252.53,257.91,250,252.65,1724654
21/09/2021,253.65,257.02,250.06,251.76,801569
22/09/2021,251.1,257.95,249.77,257.45,1101455
23/09/2021,259.29,259.5,251.58,255.38,1204748
24/09/2021,255.82,256.39,247.38,253.43,990063
27/09/2021,249.9,249.9,239.11,241.46,1757641
28/09/2021,243.12,243.19,234.65,235.75,1670776
29/09/2021,239.22,243.69,233.13,233.33,1074545
30/09/2021,234.64,239.22,234.2501,237.34,1227127
01/10/2021,238.19,240.21,234.7789,238.08,943935
04/10/2021,235,236.1,223.545,224.96,1797572
05/10/2021,225.91,229.6,224.01,227.83,1157603
06/10/2021,226.18,234.41,225.346,231.92,1209358
07/10/2021,234.179,237.45,233.57,233.96,1329008
08/10/2021,235.28,235.28,228.26,228.55,1105678
11/10/2021,226.59,230.36,225.1,225.86,1415126
12/10/2021,227.94,236.53,227.94,235.17,1354139
13/10/2021,237.37,247.58,237.37,247.2,1512930
14/10/2021,251,261.2968,251,255.53,2519351
15/10/2021,252.24,257.035,250.375,255.02,1202123
