Date,Open,High,Low,Close,Volume,Average Score,7 MA
03/02/2023,143.1,145.41,142.62,144.62,51791603,0.391,0.508
05/02/2023,168.58,168.84,166.05,167.05,47986184,0.238,0.568
06/02/2023,179.67,180.42,177.92,179.59,59941942,0.553,0.813
08/02/2023,193.58,193.72,190.41,191.14,48895815,0.72,0.673
10/02/2023,170.17,173.23,169.88,172.68,51959756,0.429,0.436
11/02/2023,174.44,176.69,174.38,176.48,66757484,0.458,0.509
13/02/2023,149.61,152.89,149.58,152.49,61854314,0.724,0.561
14/02/2023,150.77,152.41,149.52,151.84,60250160,0.412,0.557
15/02/2023,151.75,154.12,151.52,153.95,65470978,0.659,0.572
16/02/2023,152.15,154.94,151.99,152.35,66819418,0.607,0.573
17/02/2023,151,151.64,149.51,151.2,59144118,0.593,0.587
21/02/2023,148.87,149.96,147.09,147.16,62154441,0.163,0.468
22/02/2023,147.55,148.62,145.85,147.59,50709507,0.475,0.442
23/02/2023,148.76,149.01,145.93,148.07,48310635,0.705,0.456
24/02/2023,145.81,145.88,144.43,145.41,55215775,0.646,0.463
27/02/2023,146.4,147.85,146.14,146.61,44881116,0.557,0.535
28/02/2023,145.75,147.76,145.53,146.1,50344972,0.302,0.555
01/03/2023,128.93,129.54,122.88,123.77,111895669,0.198,0.382
02/03/2023,146.49,155.75,146.3,152.9,153457010,0.255,0.411
03/03/2023,146.73,149.77,146.02,149.69,70489574,0.313,0.46
04/03/2023,162.81,164.82,162.76,164.7,54893192,0.382,0.487
05/03/2023,168,169.4,165.68,165.96,59438769,0.685,0.546
07/03/2023,192.33,192.43,190.32,191.02,31458198,0.67,0.436
08/03/2023,190.13,190.93,189.26,189.74,52410140,0.462,0.634
10/03/2023,171.2,172.56,169.77,171.34,49040378,0.501,0.479
11/03/2023,173.17,175.73,172.28,175.56,79019981,0.419,0.515
13/03/2023,146.49,151.78,146.39,149.14,84311682,0.514,0.383
14/03/2023,149.94,152.04,148.77,151.24,73014818,0.477,0.354
