Date,Close/Last,Volume,Open,High,Low
21/09/2022,61.6,5216138,61.85,65.29,61.01
20/09/2022,61.13,4762596,60.5,62.05,59.78
19/09/2022,61.2,3007939,58.45,61.42,58.45
16/09/2022,58.92,12781240,59.64,59.72,57.3501
15/09/2022,60.95,3832319,60.49,63.14,59.9
14/09/2022,61.42,3818758,60,61.55,58
13/09/2022,59.85,5837705,62.31,62.7499,59.06
12/09/2022,66.94,3783739,65.46,67.0864,64.2819
09/09/2022,65.83,4865711,63.68,67.12,63.55
08/09/2022,62.58,4072987,59.46,62.72,59.17
07/09/2022,61.02,3559543,58.55,61.34,58.07
06/09/2022,58.55,4340446,58.32,59.52,57.15
02/09/2022,58.71,3464904,60.52,61.68,58.41
01/09/2022,59.32,5032478,61,61.49,57.06
31/08/2022,62.57,3239643,65.16,65.94,62.35
30/08/2022,63.78,2812607,65.3,66.33,61.59
29/08/2022,64.23,2634354,62.59,65.15,62.22
26/08/2022,64.39,3310013,68.03,68.33,64.25
25/08/2022,68.24,2679472,68,68.99,66.93
24/08/2022,66.15,2867597,65.755,67.645,65.41
23/08/2022,65.26,2673605,66.1,68.34,65.24
22/08/2022,65.78,3338119,66.28,67.55,64.54
19/08/2022,68.53,4890493,71,71.78,67.32
18/08/2022,73.04,2581287,74.7,74.7,72.82
17/08/2022,74.51,2823158,75.45,76.74,74.07
16/08/2022,77.8,6021296,76.67,78.77,72.76
15/08/2022,78.08,3729467,77,80.3187,76.79
12/08/2022,77.63,3493487,76.5,77.7,74.3
11/08/2022,74.95,4766489,79.94,80.99,74.01
10/08/2022,78.61,5762707,75.625,78.73,74.1001
09/08/2022,71.63,4664578,72.68,73.7,70.03
08/08/2022,73.68,8700198,74.425,77.15,73.33
05/08/2022,74.24,22629660,68.58,74.56,66
04/08/2022,58.43,6855673,57.42,58.97,55.64
03/08/2022,58.36,5293044,54.11,58.725,54.11
02/08/2022,53.08,4415792,50,54.04,49.7333
01/08/2022,51.16,5467306,49.61,53.39,48.53
29/07/2022,50.32,4169316,48.76,50.44,47.92
28/07/2022,48.65,3632658,48.16,49.41,46.26
27/07/2022,48.68,4825106,47.47,49.09,46.25
26/07/2022,45.68,5106707,48.55,48.71,45.2467
25/07/2022,49.79,2548497,51.25,51.445,49.13
22/07/2022,51.65,3778593,55.18,56.2988,51.49
21/07/2022,55.82,3857320,53.18,55.88,52.53
20/07/2022,53,8266461,50.44,55.93,50.4
19/07/2022,49.54,4553734,50.202,50.32,46.87
18/07/2022,48.83,5209379,47.92,50.2896,47.35
15/07/2022,46.6,4887320,45.66,46.69,44.25
14/07/2022,44.61,5479723,46.11,46.33,43.67
13/07/2022,46.78,4811545,45.46,48.84,44.29
12/07/2022,47.37,5273068,51.02,53.56,47.02
11/07/2022,50.69,4015141,51.94,52.2899,48.84
08/07/2022,52.08,4546857,51.27,54.15,49.9
07/07/2022,52.74,4250808,49.96,53.59,49.91
06/07/2022,50.35,5802419,50.46,52.25,49.41
05/07/2022,50.5,5684315,44.73,50.58,43.8201
01/07/2022,45.9,4343487,44.66,45.98,43.22
30/06/2022,43.75,5141826,45.25,45.39,41.9
29/06/2022,45.87,3750249,45.65,46.68,44.21
28/06/2022,45.44,5041708,48.8,49.85,44.8
27/06/2022,49.25,4643229,51.51,52.47,48.74
24/06/2022,51.84,5854990,49.37,51.85,48.85
23/06/2022,48.2,5063405,45.22,48.45,43.78
22/06/2022,44.34,3959209,42.95,45.45,42.6
21/06/2022,43.62,5482318,41.85,44.7,41.85
17/06/2022,41.21,12260260,40.13,42.24,40.1
16/06/2022,39.7,6906774,41.49,41.63,38.96
15/06/2022,43.56,6258260,41.45,44.57,40.98
