Date,Open,High,Low,Close,Volume
26/04/2021,102.56,105.49,100.52,104.62,2387736
27/04/2021,104.6,105.71,102.55,104.01,1834218
28/04/2021,103.15,105.86,102.11,105.38,1899725
29/04/2021,106.39,106.44,101.29,103.23,1746691
30/04/2021,101,104,100.54,101.58,1074926
03/05/2021,101.39,101.44,96.52,96.82,2481179
04/05/2021,95.29,95.29,92.04,94.47,2840657
05/05/2021,95.3,96.18,91.5,92,1207312
06/05/2021,90.78,91.6397,86.47,88.32,5331841
07/05/2021,89.98,93.27,88.93,89.42,3989008
10/05/2021,88,88.995,81.36,81.58,6039258
11/05/2021,77.27,85.02,76,84.54,8350917
12/05/2021,89.9,92.27,81.22,84.24,9789860
13/05/2021,84.66,87.42,78.97,80.91,5347114
14/05/2021,83.63,87.85,82.34,87.48,4213505
17/05/2021,86.25,87.46,84.45,86.57,2540229
18/05/2021,86.69,91.32,85.71,89.59,3032669
19/05/2021,86,88.59,85.01,88.36,2895343
20/05/2021,89.33,92.34,88.8,90.05,2841363
21/05/2021,91.33,94.68,90.6,93.55,4875532
24/05/2021,94.33,96.68,93.1152,96.35,3572771
25/05/2021,97.31,97.45,94.54,95.28,3630016
26/05/2021,95.88,98.5,94.8201,96.24,3731033
27/05/2021,95.83,96.7,93.67,95.8,5716088
28/05/2021,96.51,98.55,94.4,94.46,2276818
01/06/2021,95.18,95.815,92.25,93.72,3047165
02/06/2021,93.71,94.32,92.33,93.51,2982374
03/06/2021,93.29,95.08,92.2089,93.1,2458592
04/06/2021,93.65,95.43,93,95.08,2006329
07/06/2021,94.29,98.42,94.23,98.1,3696356
08/06/2021,98.25,99.79,96.1,98.05,2944322
09/06/2021,99,100,97.705,98.66,2982371
10/06/2021,99.3,100.93,97.655,100.81,2684819
11/06/2021,99.99,101.45,98.7,99.45,4134073
14/06/2021,100.3,103.7375,99.38,102.3,5617169
15/06/2021,101.75,103.24,96.81,98.09,3616529
16/06/2021,98.05,99.93,95.099,96.84,2751864
17/06/2021,96.8,104.47,96.3,103.86,5215830
18/06/2021,103.95,105.95,102.3043,105.02,5552452
21/06/2021,105.12,109.9,104.59,107.89,5574344
22/06/2021,108.01,111.85,107.4253,110.26,5096552
23/06/2021,110,113.33,109.69,112.96,3751387
24/06/2021,113.27,115.5,112.8501,113.76,4668049
25/06/2021,113.95,113.98,109.52,110.15,9565710
28/06/2021,111.99,112.8,109.9,110.49,2348451
29/06/2021,110.99,112.1078,109.11,110.85,2007520
30/06/2021,109.42,111.97,109.11,109.83,1662549
01/07/2021,110.08,111.87,105.04,105.84,2792760
02/07/2021,105.94,107.96,105.49,106.09,1215283
06/07/2021,106.29,108.45,104.11,106.65,1501997
07/07/2021,107.69,108.25,103.15,104.49,1747818
08/07/2021,100,105.25,98.9716,105.18,3073174
09/07/2021,104.97,107.25,102.82,106.53,1296376
12/07/2021,107.12,107.36,103.46,106.19,1152645
13/07/2021,103.74,106.5,103.32,103.54,1547224
14/07/2021,104.39,104.7,99.21,99.62,2892359
15/07/2021,100,101.47,96.22,96.75,4400674
16/07/2021,97.5,98.9,95.6202,96.71,1895849
19/07/2021,94.07,98.8,92.5,98.23,1934753
20/07/2021,98.46,100.65,96.15,100.16,1390847
21/07/2021,100.35,103.36,99.83,103.31,1605542
22/07/2021,104,104.86,102.1601,104.2,1754973
