Date,Close,Volume,Open,High,Low,avg,7ma,
21/10/2024,189.07,24639390.00,188.05,189.46,186.40,0.515,0.785,
18/10/2024,188.99,37417670.00,187.15,190.74,186.28,0.895,0.86,
17/10/2024,187.53,25039410.00,188.22,188.94,186.00,0.9,0.857,
16/10/2024,186.89,23456810.00,187.05,187.78,185.61,0.812,0.85,
15/10/2024,187.69,32178930.00,187.63,188.41,184.58,0.782,0.861,
14/10/2024,187.54,22614410.00,189.78,189.83,187.36,1,0.845,
11/10/2024,188.82,25751560.00,186.63,189.93,186.30,0.872,0.79,
10/10/2024,186.65,27785040.00,187.13,188.13,185.83,0.849,0.788,
09/10/2024,185.17,26343120.00,182.82,185.85,182.05,0.893,0.782,
08/10/2024,182.72,26372090.00,181.92,183.09,180.92,0.669,0.73,
07/10/2024,180.80,42364200.00,182.95,183.60,180.25,0.627,0.721,
04/10/2024,186.51,41079010.00,185.75,187.60,183.60,0.86,0.707,
03/10/2024,181.96,30204300.00,183.05,183.44,180.88,0.811,0.714,
02/10/2024,184.76,23704060.00,184.44,186.60,184.04,0.526,0.727,
01/10/2024,185.13,36044910.00,184.90,186.19,183.45,0.608,0.756,
30/09/2024,186.33,41680400.00,187.14,188.49,184.65,0.786,0.778,
27/09/2024,187.97,36002320.00,190.68,190.90,187.34,0.913,0.755,
26/09/2024,191.16,36334850.00,194.31,194.53,189.54,0.9,0.767,
25/09/2024,192.53,26391140.00,193.75,193.95,192.16,0.727,0.742,
24/09/2024,193.96,43478930.00,194.27,195.37,190.13,0.762,0.763,
23/09/2024,193.88,36993110.00,191.64,194.45,190.57,0.972,0.766,
20/09/2024,191.60,100378600.00,190.23,191.84,187.41,0.997,0.769,
19/09/2024,189.87,39543170.00,190.04,190.99,188.47,0.726,0.733,
18/09/2024,186.43,34448130.00,186.45,188.80,185.06,0.868,0.753,
17/09/2024,186.88,26091680.00,186.85,189.45,186.14,0.789,0.742,
16/09/2024,184.89,26065490.00,185.29,185.81,183.36,0.601,0.748,
13/09/2024,186.49,26495350.00,187.00,188.50,185.91,0.742,0.785,
12/09/2024,187.00,33622480.00,184.80,187.41,183.54,0.87,0.756,
11/09/2024,184.52,42564700.00,180.10,184.99,175.73,0.791,0.751,
10/09/2024,179.55,36233800.00,177.49,180.50,176.79,0.829,0.756,
09/09/2024,175.40,29037360.00,174.53,175.85,173.51,0.678,0.743,
06/09/2024,171.39,41466540.00,177.24,178.38,171.16,0.54,0.697,
05/09/2024,177.89,40170530.00,175.00,179.88,175.00,0.839,0.705,
04/09/2024,173.33,30309230.00,174.48,175.98,172.54,0.826,0.687,
03/09/2024,176.25,37817510.00,177.55,178.26,175.26,0.738,0.675,
30/08/2024,178.50,43429360.00,172.78,178.90,172.60,0.599,0.739,
29/08/2024,172.12,26407820.00,173.22,174.29,170.81,0.708,0.747,
