Date,Close,Volume,Open,High,Low,Avg,7 MA
18/04/2022,19.09,5310225,18.79,19.16,18.09,0.041,0.042
19/04/2022,19.69,3407121,19.06,19.9,18.905,0.138,0.06
22/04/2022,17.02,3963505,17.16,17.74,16.56,0.093,0.066
27/04/2022,16.31,4756948,16.73,17.02,15.89,0.081,0.066
02/05/2022,16.6,4798261,15.81,16.645,15.49,0.099,0.059
04/05/2022,16.86,6987295,16.34,17,15,0.066,0.083
05/05/2022,13.81,10478750,14.54,14.99,13.495,0.025,0.078
09/05/2022,11.74,5632840,12.81,12.88,11.63,0.118,0.069
16/05/2022,11.51,5035885,12.11,12.55,11.5,0.007,0.057
19/05/2022,12.12,5112928,11.12,12.46,11.01,0.052,0.052
20/05/2022,11.93,4711297,12.19,12.5,11.46,0.159,0.061
26/05/2022,12.46,5064074,11.09,12.82,11.09,0.107,0.067
31/05/2022,13.05,3806513,13.19,13.52,12.79,-0.1,0.049
17/06/2022,10.94,6771474,10.29,11.015,10.285,0.032,0.054
23/06/2022,12.65,4718441,11.78,12.715,11.77,0.047,0.043
30/06/2022,11.61,3648579,11.75,11.835,10.99,0.058,0.051
06/07/2022,12.73,3182646,12.93,13.44,12.59,-0.119,0.026
07/07/2022,14.02,5238725,12.75,14.165,12.67,0.069,0.013
11/07/2022,11.61,5979148,12.75,13.03,11.3801,0.056,0.006
13/07/2022,11.6,2998451,11.56,11.845,11.04,0.163,0.044
15/07/2022,11.64,2687203,11.63,11.73,11.18,0.064,0.048
19/07/2022,11.45,7709833,11.7,11.8899,11.185,0.034,0.035
21/07/2022,12.6,4768768,11.99,12.9,11.9401,0.134,0.071
22/07/2022,11.51,2949824,12.28,12.895,11.41,0.104,0.076
25/07/2022,11.43,2977138,11.35,11.51,11.03,0.103,0.083
26/07/2022,10.68,3075907,11.23,11.305,10.515,0.136,0.079
27/07/2022,11.1,2994214,11.04,11.2,10.695,0.119,0.087
28/07/2022,11.41,2525487,11.03,11.52,10.745,0.097,0.104
29/07/2022,11.37,2314028,11.3,11.46,10.96,0.069,0.109
01/08/2022,11.5,3054581,11.3,11.605,10.8799,0.093,0.103
02/08/2022,12.31,3629075,11.33,12.68,11.33,0.116,0.105
03/08/2022,13.21,5033934,12.67,13.27,12.55,0.067,0.1
04/08/2022,11.58,7181667,12.66,12.89,11.41,0.1,0.094
09/08/2022,11.37,3871422,11.85,11.855,11.14,-0.083,0.066
11/08/2022,11.55,3781695,12.05,12.74,11.55,0.128,0.07
12/08/2022,12.19,3292416,11.75,12.205,11.64,0.088,0.073
18/08/2022,11.11,2398429,11.14,11.18,10.88,0.171,0.084
06/09/2022,8.98,7382304,8.48,9.27,8.275,0.095,0.081
15/09/2022,9.86,2825137,9.55,10.22,9.5005,0.092,0.093
05/10/2022,9.32,2564841,9.2,9.39,8.85,0.125,0.122
11/10/2022,7.78,2818312,8,8.11,7.5,0.059,0.112
13/10/2022,7.77,3082432,7.51,7.95,7.32,0.115,0.116
18/10/2022,8.38,3272130,8.33,8.74,8.22,-0.11,0.076
24/10/2022,8.2,2481786,8.31,8.31,7.77,0.08,0.074
01/11/2022,8.53,2493808,8.8,8.98,8.44,0.137,0.071
02/11/2022,7.9,4479260,8.47,8.61,7.9,0.05,0.065
03/11/2022,8.78,6757262,8.06,9.09,7.92,0.167,0.071
04/11/2022,8.66,4420210,8.85,9.02,8.135,0.15,0.084
08/11/2022,8.46,4110094,8.66,8.71,8.08,-0.007,0.067
09/11/2022,8.03,2801554,8.23,8.51,7.95,0.21,0.112
10/11/2022,9.58,4904248,8.6,9.63,8.6,0.152,0.123
21/11/2022,8.4,3314409,8.67,8.81,8.21,0.088,0.109
29/11/2022,8.8,2495571,8.89,8.99,8.585,0.034,0.105
30/11/2022,9.66,3795110,8.82,9.73,8.78,0.107,0.09
02/12/2022,10.2,3312925,9.74,10.51,9.6,0.202,0.097
05/12/2022,9.67,2807736,10.12,10.34,9.485,0.201,0.108
12/12/2022,9.58,2302559,9.45,9.65,9.3014,0.132,0.12
20/12/2022,8.41,2069994,8.43,8.69,8.2599,-0.06,0.099
11/01/2023,9.26,2955377,8.98,9.46,8.88,-0.065,0.106
12/01/2023,9.62,2241296,9.41,9.63,9.05,0,0.077
17/01/2023,10.16,2825053,9.69,10.2186,9.55,0.125,0.066
20/01/2023,10.24,3332698,10.02,10.43,9.8,0.069,0.057
07/02/2023,11.09,2721439,10.85,11.275,10.61,0.16,0.088
